Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8333333333333334,0.8,0.5714285714285714,0.6666666666666666,0.7815126050420167
XGBoost,0.7916666666666666,0.625,0.7142857142857143,0.6666666666666666,0.7731092436974789
Gradient Boosting,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7394957983193278
Decision Tree,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6974789915966386
Random Forest,0.7916666666666666,0.75,0.42857142857142855,0.5454545454545454,0.7436974789915967
KNN,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.2,0.5378151260504201
